,date,cowshed,avg_actual,avg_milk,THI,calving_days,calving_indices
10,2017-3-5,B4-3S,40.3614457831,26.7,9.236,154.5,2.0
26,2017-3-6,B4-3S,38.2530120482,26.1,9.478,153.0,2.0
42,2017-3-7,B4-3S,39.6449704142,26.6,9.4054,154.0,2.0
58,2017-3-8,B4-3S,38.961038961,27.3,9.4054,158.0,2.0
74,2017-3-9,B4-3S,38.2608695652,27.0,10.244,147.0,2.0
90,2017-3-10,B4-3S,38.2608695652,27.2,10.2011,148.0,2.0
106,2017-3-11,B4-3S,38.5964912281,26.8,10.387,149.0,2.0
122,2017-3-12,B4-3S,39.1304347826,27.6,10.4299,149.5,2.0
138,2017-3-13,B4-3S,40.0,28.0,10.387,150.5,2.0
154,2017-3-14,B4-3S,40.3361344538,28.6,10.101,151.0,2.0
170,2017-3-15,B4-3S,39.6694214876,28.4,11.1948,152.5,2.0
186,2017-3-16,B4-3S,37.7952755906,28.4,11.252,154.0,2.0
202,2017-3-17,B4-3S,38.7596899225,29.5,11.2652,155.0,2.0
218,2017-3-18,B4-3S,36.4341085271,28.9,11.296,156.0,2.0
234,2017-3-19,B4-3S,36.4341085271,28.5,11.2388,157.0,2.0
250,2017-3-20,B4-3S,36.8217054264,28.7,12.2435,158.0,2.0
266,2017-3-21,B4-3S,37.519379845,28.6,12.2765,159.0,2.0
282,2017-3-22,B4-3S,34.3511450382,28.2,12.315,159.0,2.0
298,2017-3-23,B4-3S,38.7755102041,28.7,12.2765,158.0,2.0
314,2017-3-24,B4-3S,38.1176470588,28.0,13.3758,158.5,2.0
330,2017-3-25,B4-3S,38.6363636364,28.0,13.3142,163.0,2.0
346,2017-3-26,B4-3S,39.6226415094,28.4,13.0678,160.5,2.0
362,2017-3-27,B4-3S,39.4957983193,28.2,13.1602,163.5,2.0
378,2017-3-28,B4-3S,39.6694214876,28.0,14.023,163.0,2.0
394,2017-3-29,B4-3S,37.7049180328,28.5,14.276,163.5,2.0
410,2017-3-30,B4-3S,39.4957983193,28.8,13.9471,154.5,2.0
426,2017-3-31,B4-3S,39.1666666667,29.8,13.9471,156.0,2.0
442,2017-4-1,B4-3S,38.3333333333,28.6,14.932,157.0,2.0
458,2017-4-2,B4-3S,39.4957983193,29.1,15.636,157.0,2.0
474,2017-4-3,B4-3S,38.7096774194,30.3,15.1784,158.0,2.0
490,2017-4-4,B4-3S,35.4330708661,28.3,16.1567,159.0,2.0
506,2017-4-5,B4-3S,41.1290322581,28.1,15.7057,160.0,2.0
522,2017-4-6,B4-3S,37.7358490566,28.1,16.1567,157.5,2.0
538,2017-4-7,B4-3S,39.7849462366,28.5,15.841,158.5,2.0
554,2017-4-8,B4-3S,40.2298850575,31.9,16.75,160.0,2.0
570,2017-4-9,B4-3S,36.7816091954,27.8,17.3,161.0,2.0
586,2017-4-10,B4-3S,36.7816091954,28.1,17.685,161.5,2.0
602,2017-4-11,B4-3S,36.404494382,28.2,16.915,162.5,2.0
618,2017-4-12,B4-3S,38.202247191,28.9,18.308,161.0,2.0
634,2017-4-13,B4-3S,38.6516853933,28.5,18.5027,162.0,2.0
650,2017-4-14,B4-3S,36.170212766,29.0,17.659,160.0,2.0
666,2017-4-15,B4-3S,38.5416666667,29.1,18.1133,161.0,2.0
682,2017-4-16,B4-3S,40.625,29.4,18.3436,162.0,2.0
698,2017-4-17,B4-3S,37.3737373737,29.5,18.7924,163.0,2.0
714,2017-4-18,B4-3S,38.0,29.6,19.316,165.0,2.0
730,2017-4-19,B4-3S,38.0,28.6,19.0916,151.5,2.0
746,2017-4-20,B4-3S,29.0,28.8,19.316,145.0,2.0
762,2017-4-21,B4-3S,26.7441860465,29.4,21.171,146.0,2.0
778,2017-4-22,B4-3S,30.3797468354,29.8,20.9169,147.0,2.0
794,2017-4-23,B4-3S,37.3493975904,29.6,19.2229,150.0,2.0
810,2017-4-24,B4-3S,38.6363636364,29.9,19.7311,154.0,2.0
826,2017-4-25,B4-3S,37.0786516854,29.3,19.2229,155.0,2.0
842,2017-4-26,B4-3S,37.0786516854,29.2,19.7311,156.0,2.0
858,2017-4-27,B4-3S,38.202247191,20.5,20.386,155.5,2.0
874,2017-4-28,B4-3S,40.2173913043,30.2,20.6698,156.5,2.0
890,2017-4-29,B4-3S,37.6344086022,29.6,21.6158,155.0,2.0
906,2017-4-30,B4-3S,37.6344086022,30.8,21.6158,156.0,2.0
922,2017-5-1,B4-3S,35.7894736842,30.2,21.0482,163.0,2.0
938,2017-5-2,B4-3S,38.9473684211,30.8,21.332,164.0,2.0
954,2017-5-3,B4-3S,41.9191919192,28.6,21.332,165.0,2.0
970,2017-5-4,B4-3S,41.5,29.5,23.0715,168.5,2.0
986,2017-5-5,B4-3S,39.6551724138,30.6,23.0715,176.0,2.0
1002,2017-5-6,B4-3S,38.3720930233,30.7,23.385,170.0,2.0
1018,2017-5-7,B4-3S,30.3370786517,30.0,23.0715,174.5,2.0
1034,2017-5-8,B4-3S,36.25,29.7,22.0265,179.5,2.0
1050,2017-5-9,B4-3S,38.961038961,29.9,21.295,180.0,2.0
1066,2017-5-10,B4-3S,37.1794871795,29.5,22.0265,181.0,2.0
1082,2017-5-11,B4-3S,34.6153846154,28.9,23.6912,182.5,2.0
1098,2017-5-12,B4-3S,35.0,28.1,25.2928,183.0,2.0
1114,2017-5-13,B4-3S,37.9746835443,28.3,25.636,184.0,2.0
1130,2017-5-14,B4-3S,35.3658536585,29.5,24.492,194.0,2.0
1146,2017-5-15,B4-3S,35.1648351648,26.2,24.8352,195.0,2.0
1162,2017-5-16,B4-3S,35.7894736842,27.7,25.2928,196.5,2.0
1178,2017-5-17,B4-3S,37.5,28.2,24.356,198.0,2.0
1194,2017-5-18,B4-3S,39.5833333333,28.1,24.7289,198.5,2.0
1210,2017-5-19,B4-3S,37.7551020408,28.2,24.356,200.0,2.0
1226,2017-5-20,B4-3S,38.9380530973,27.5,24.356,195.0,2.0
1242,2017-5-21,B4-3S,37.5,28.8,24.9614,196.0,2.0
1258,2017-5-22,B4-3S,38.5245901639,24.7,26.3034,198.5,2.0
1274,2017-5-23,B4-3S,41.1764705882,27.9,25.7666,201.0,2.0
1290,2017-5-24,B4-3S,40.2173913043,26.5,26.706,205.0,2.0
1306,2017-5-25,B4-3S,40.7608695652,27.9,25.7666,206.0,2.0
1322,2017-5-26,B4-3S,42.1052631579,26.1,28.2453,206.0,2.0
1338,2017-5-27,B4-3S,42.7083333333,28.1,27.813,207.0,2.0
1354,2017-5-28,B4-3S,42.7083333333,28.3,26.8043,208.0,2.0
1370,2017-5-29,B4-3S,41.6666666667,28.1,25.9397,208.0,2.0
1386,2017-5-30,B4-3S,42.7083333333,28.3,25.9397,208.0,2.0
1402,2017-5-31,B4-3S,44.7916666667,28.8,27.842,207.5,2.0
1418,2017-6-1,B4-3S,47.4747474747,26.8,26.918,208.5,2.0
1434,2017-6-2,B4-3S,39.8148148148,28.6,27.38,211.0,2.0
1450,2017-6-3,B4-3S,41.0714285714,26.6,26.918,212.0,2.0
1466,2017-6-4,B4-3S,38.3928571429,27.7,28.92,213.0,2.0
1482,2017-6-5,B4-3S,39.2857142857,28.1,27.8963,212.5,2.0
1498,2017-6-6,B4-3S,39.2857142857,27.6,28.388,216.0,2.0
1514,2017-6-7,B4-3S,38.3928571429,28.2,30.027,217.0,2.0
1530,2017-6-8,B4-3S,37.5,28.0,27.8963,219.0,2.0
1546,2017-6-9,B4-3S,39.2857142857,28.8,29.5353,220.0,2.0
1562,2017-6-10,B4-3S,38.0357142857,28.2,29.5353,220.0,2.0
1578,2017-6-11,B4-3S,39.4736842105,27.7,30.027,220.0,2.0
1594,2017-6-12,B4-3S,,,29.9174,,
1610,2017-6-13,B4-3S,,,31.6554,,
1626,2017-6-14,B4-3S,,,29.396,,
1642,2017-6-15,B4-3S,,,30.6126,,
1658,2017-6-16,B4-3S,,,31.134,,
1674,2017-6-17,B4-3S,,,28.8746,,
1690,2017-6-18,B4-3S,,,31.134,,
1706,2017-6-19,B4-3S,25.2252252252,29.4,29.396,273.5,1.0
1722,2017-6-20,B4-3S,36.9369369369,29.6,28.8746,274.0,1.0
1738,2017-6-21,B4-3S,36.9369369369,30.0,31.6554,273.0,1.0
1754,2017-6-22,B4-3S,37.3913043478,29.0,34.0886,272.0,1.5
1770,2017-6-23,B4-3S,37.0689655172,28.1,32.872,273.0,1.5
1786,2017-6-24,B4-3S,38.7931034483,29.4,31.134,272.0,2.0
1802,2017-6-25,B4-3S,39.0756302521,29.9,30.6126,273.0,2.0
1818,2017-6-26,B4-3S,37.8333333333,29.4,30.6126,274.0,2.0
1834,2017-6-27,B4-3S,41.6666666667,29.8,30.6126,271.5,2.0
1850,2017-6-28,B4-3S,38.8333333333,29.5,29.9174,271.5,2.0
1866,2017-6-29,B4-3S,36.3333333333,29.1,32.3506,272.5,2.0
1882,2017-6-30,B4-3S,38.3333333333,29.4,32.3506,273.5,2.0
1898,2017-7-1,B4-3S,40.0,29.2,29.9174,274.5,2.0
1914,2017-7-2,B4-3S,42.5,29.1,31.134,273.5,2.0
1930,2017-7-3,B4-3S,42.96875,30.1,34.0886,274.0,2.0
1946,2017-7-4,B4-3S,41.6666666667,28.7,30.6126,275.5,2.0
1962,2017-7-5,B4-3S,40.1515151515,30.6,33.3934,276.5,2.0
1978,2017-7-6,B4-3S,41.6666666667,27.6,33.3934,277.5,2.0
1994,2017-7-7,B4-3S,37.1212121212,28.1,32.3506,276.0,2.0
2010,2017-7-8,B4-3S,35.4838709677,27.4,31.134,277.0,2.0
2026,2017-7-9,B4-3S,35.8333333333,11.5,34.0886,278.5,2.0
2042,2017-7-10,B4-3S,36.6666666667,0.0,31.6554,277.0,2.0
2058,2017-7-11,B4-3S,37.5,16.1,36.348,278.0,2.0
2074,2017-7-12,B4-3S,36.1666666667,27.1,34.0886,279.0,2.0
2090,2017-7-13,B4-3S,37.0,26.6,32.872,279.0,2.0
2106,2017-7-14,B4-3S,36.6666666667,7.6,34.0886,277.0,2.0
2122,2017-7-15,B4-3S,36.1666666667,25.5,32.872,278.0,2.0
2138,2017-7-16,B4-3S,38.2352941176,25.7,34.0886,279.0,2.0
2154,2017-7-17,B4-3S,38.2352941176,26.9,34.61,280.0,2.0
2170,2017-7-18,B4-3S,40.0,26.5,32.872,278.5,2.0
2186,2017-7-19,B4-3S,37.3949579832,26.8,32.872,279.5,2.0
2202,2017-7-20,B4-3S,40.0,25.8,34.9576,283.0,2.0
2218,2017-7-21,B4-3S,38.3333333333,25.4,34.9576,284.0,2.0
2234,2017-7-22,B4-3S,36.974789916,24.0,32.872,280.0,2.0
2250,2017-7-23,B4-3S,36.974789916,23.5,35.284,281.0,2.0
2266,2017-7-24,B4-3S,32.7731092437,24.0,37.696,282.0,2.0
2282,2017-7-25,B4-3S,32.7433628319,23.6,38.902,283.0,2.0
14,2017-3-5,B4-7S,,,9.236,21.0,1.0
30,2017-3-6,B4-7S,,,9.478,21.0,1.0
46,2017-3-7,B4-7S,,,9.4054,22.0,1.0
62,2017-3-8,B4-7S,,,9.4054,22.0,1.0
78,2017-3-9,B4-7S,,,10.244,23.0,1.0
94,2017-3-10,B4-7S,,,10.2011,24.0,1.0
110,2017-3-11,B4-7S,,,10.387,25.0,1.0
126,2017-3-12,B4-7S,,,10.4299,25.0,1.0
142,2017-3-13,B4-7S,,,10.387,26.0,1.0
158,2017-3-14,B4-7S,,,10.101,27.0,1.0
174,2017-3-15,B4-7S,,,11.1948,28.0,1.0
190,2017-3-16,B4-7S,,,11.252,29.0,1.0
206,2017-3-17,B4-7S,,,11.2652,29.0,1.0
222,2017-3-18,B4-7S,,,11.296,30.0,1.0
238,2017-3-19,B4-7S,,,11.2388,30.0,1.0
254,2017-3-20,B4-7S,,,12.2435,31.0,1.0
270,2017-3-21,B4-7S,,,12.2765,30.0,1.0
286,2017-3-22,B4-7S,,,12.315,31.0,1.0
302,2017-3-23,B4-7S,,,12.2765,31.0,1.0
318,2017-3-24,B4-7S,,,13.3758,32.0,1.0
334,2017-3-25,B4-7S,,,13.3142,33.0,1.0
350,2017-3-26,B4-7S,,,13.0678,32.5,1.0
366,2017-3-27,B4-7S,,,13.1602,33.5,1.0
382,2017-3-28,B4-7S,,,14.023,34.5,1.0
398,2017-3-29,B4-7S,,,14.276,35.5,1.0
414,2017-3-30,B4-7S,,,13.9471,38.0,1.0
430,2017-3-31,B4-7S,,,13.9471,39.0,1.0
446,2017-4-1,B4-7S,,,14.932,40.0,1.0
462,2017-4-2,B4-7S,,,15.636,41.0,1.0
478,2017-4-3,B4-7S,,,15.1784,42.0,1.0
494,2017-4-4,B4-7S,27.8911564626,36.2,16.1567,43.0,1.0
510,2017-4-5,B4-7S,33.3333333333,30.7,15.7057,44.0,1.0
526,2017-4-6,B4-7S,31.2925170068,27.8,16.1567,45.0,1.0
542,2017-4-7,B4-7S,37.8378378378,31.1,15.841,46.0,1.0
558,2017-4-8,B4-7S,37.8378378378,29.6,16.75,47.0,1.0
574,2017-4-9,B4-7S,37.1621621622,31.4,17.3,48.0,1.0
590,2017-4-10,B4-7S,37.1621621622,31.3,17.685,49.0,1.0
606,2017-4-11,B4-7S,35.8108108108,31.7,16.915,50.0,1.0
622,2017-4-12,B4-7S,36.4864864865,32.3,18.308,51.0,1.0
638,2017-4-13,B4-7S,35.8108108108,32.1,18.5027,52.0,1.0
654,2017-4-14,B4-7S,34.7972972973,33.0,17.659,53.0,1.0
670,2017-4-15,B4-7S,34.4594594595,33.0,18.1133,54.0,1.0
686,2017-4-16,B4-7S,33.1081081081,33.0,18.3436,55.0,1.0
702,2017-4-17,B4-7S,33.7837837838,33.3,18.7924,56.0,1.0
718,2017-4-18,B4-7S,33.7837837838,33.4,19.316,57.0,1.0
734,2017-4-19,B4-7S,33.7837837838,36.8,19.0916,58.0,1.0
750,2017-4-20,B4-7S,34.693877551,33.4,19.316,59.0,1.0
766,2017-4-21,B4-7S,33.7837837838,33.1,21.171,60.0,1.0
782,2017-4-22,B4-7S,33.7837837838,33.7,20.9169,61.0,1.0
798,2017-4-23,B4-7S,34.4594594595,33.4,19.2229,61.5,1.0
814,2017-4-24,B4-7S,34.0136054422,33.7,19.7311,62.5,1.0
830,2017-4-25,B4-7S,34.9315068493,33.5,19.2229,63.5,1.0
846,2017-4-26,B4-7S,34.2465753425,33.2,19.7311,64.5,1.0
862,2017-4-27,B4-7S,34.2465753425,22.8,20.386,65.5,1.0
878,2017-4-28,B4-7S,34.2465753425,33.2,20.6698,66.5,1.0
894,2017-4-29,B4-7S,36.301369863,33.2,21.6158,67.5,1.0
910,2017-4-30,B4-7S,34.2465753425,33.1,21.6158,68.5,1.0
926,2017-5-1,B4-7S,34.9315068493,33.4,21.0482,69.0,1.0
942,2017-5-2,B4-7S,36.301369863,33.0,21.332,70.0,1.0
958,2017-5-3,B4-7S,36.301369863,33.4,21.332,71.0,1.0
974,2017-5-4,B4-7S,38.9655172414,33.5,23.0715,72.0,1.0
990,2017-5-5,B4-7S,36.9655172414,33.6,23.0715,73.0,1.0
1006,2017-5-6,B4-7S,38.275862069,33.4,23.385,74.5,1.0
1022,2017-5-7,B4-7S,37.2413793103,33.2,23.0715,75.0,1.0
1038,2017-5-8,B4-7S,35.8108108108,33.1,22.0265,76.0,1.0
1054,2017-5-9,B4-7S,34.8993288591,32.7,21.295,77.0,1.0
1070,2017-5-10,B4-7S,36.0544217687,33.3,22.0265,79.0,1.0
1086,2017-5-11,B4-7S,36.8055555556,33.1,23.6912,80.0,1.0
1102,2017-5-12,B4-7S,37.7622377622,33.1,25.2928,80.5,1.0
1118,2017-5-13,B4-7S,34.965034965,32.9,25.636,81.5,1.0
1134,2017-5-14,B4-7S,37.7622377622,33.9,24.492,82.5,1.0
1150,2017-5-15,B4-7S,36.3636363636,28.3,24.8352,83.5,1.0
1166,2017-5-16,B4-7S,37.323943662,32.3,25.2928,84.5,1.0
1182,2017-5-17,B4-7S,36.6197183099,32.8,24.356,85.0,1.0
1198,2017-5-18,B4-7S,38.7323943662,32.5,24.7289,86.5,1.0
1214,2017-5-19,B4-7S,38.0281690141,33.2,24.356,87.5,1.0
1230,2017-5-20,B4-7S,37.323943662,33.5,24.356,88.5,1.0
1246,2017-5-21,B4-7S,38.0281690141,32.5,24.9614,89.5,1.0
1262,2017-5-22,B4-7S,39.0070921986,24.8,26.3034,90.5,1.0
1278,2017-5-23,B4-7S,40.4255319149,32.4,25.7666,91.5,1.0
1294,2017-5-24,B4-7S,39.7163120567,32.0,26.706,92.5,1.0
1310,2017-5-25,B4-7S,39.7163120567,32.6,25.7666,93.5,1.0
1326,2017-5-26,B4-7S,39.0070921986,33.6,28.2453,94.5,1.0
1342,2017-5-27,B4-7S,39.7163120567,33.2,27.813,95.5,1.0
1358,2017-5-28,B4-7S,39.7163120567,34.1,26.8043,96.5,1.0
1374,2017-5-29,B4-7S,38.2978723404,33.0,25.9397,98.0,1.0
1390,2017-5-30,B4-7S,39.0070921986,32.8,25.9397,99.0,1.0
1406,2017-5-31,B4-7S,39.0070921986,32.9,27.842,100.0,1.0
1422,2017-6-1,B4-7S,38.5714285714,32.8,26.918,101.0,1.0
1438,2017-6-2,B4-7S,37.8571428571,33.3,27.38,102.0,1.0
1454,2017-6-3,B4-7S,40.0,32.6,26.918,103.0,1.0
1470,2017-6-4,B4-7S,37.4100719424,33.3,28.92,104.0,1.0
1486,2017-6-5,B4-7S,38.1294964029,33.5,27.8963,105.0,1.0
1502,2017-6-6,B4-7S,38.1294964029,39.3,28.388,106.0,1.0
1518,2017-6-7,B4-7S,37.4100719424,34.1,30.027,107.0,1.0
1534,2017-6-8,B4-7S,38.1294964029,33.9,27.8963,108.0,1.0
1550,2017-6-9,B4-7S,38.4057971014,33.8,29.5353,109.0,1.0
1566,2017-6-10,B4-7S,37.6811594203,33.5,29.5353,110.0,1.0
1582,2017-6-11,B4-7S,38.6956521739,33.8,30.027,111.0,1.0
1598,2017-6-12,B4-7S,39.1240875912,33.1,29.9174,112.0,1.0
1614,2017-6-13,B4-7S,39.4160583942,33.8,31.6554,113.0,1.0
1630,2017-6-14,B4-7S,39.2592592593,34.1,29.396,114.0,1.0
1646,2017-6-15,B4-7S,39.9253731343,34.6,30.6126,115.0,1.0
1662,2017-6-16,B4-7S,39.0977443609,33.9,31.134,116.0,1.0
1678,2017-6-17,B4-7S,40.6015037594,35.3,28.8746,117.0,1.0
1694,2017-6-18,B4-7S,39.8550724638,33.9,31.134,117.5,1.0
1710,2017-6-19,B4-7S,39.2857142857,34.0,29.396,118.5,1.0
1726,2017-6-20,B4-7S,42.1428571429,34.1,28.8746,119.5,1.0
1742,2017-6-21,B4-7S,40.0,33.5,31.6554,120.0,1.0
1758,2017-6-22,B4-7S,41.4285714286,32.5,34.0886,121.0,1.0
1774,2017-6-23,B4-7S,39.3103448276,32.0,32.872,122.0,1.0
1790,2017-6-24,B4-7S,39.8601398601,32.1,31.134,122.5,1.0
1806,2017-6-25,B4-7S,39.3103448276,31.9,30.6126,123.5,1.0
1822,2017-6-26,B4-7S,40.4255319149,32.9,30.6126,124.5,1.0
1838,2017-6-27,B4-7S,40.5797101449,32.5,30.6126,125.5,1.0
1854,2017-6-28,B4-7S,40.5797101449,33.0,29.9174,126.5,1.0
1870,2017-6-29,B4-7S,40.5797101449,32.1,32.3506,127.5,1.0
1886,2017-6-30,B4-7S,40.5797101449,31.8,32.3506,128.5,1.0
1902,2017-7-1,B4-7S,39.8550724638,31.5,29.9174,129.5,1.0
1918,2017-7-2,B4-7S,39.8550724638,31.3,31.134,130.5,1.0
1934,2017-7-3,B4-7S,39.8550724638,25.5,34.0886,131.5,1.0
1950,2017-7-4,B4-7S,39.8550724638,30.3,30.6126,132.5,1.0
1966,2017-7-5,B4-7S,39.8550724638,31.7,33.3934,133.5,1.0
1982,2017-7-6,B4-7S,39.8550724638,30.7,33.3934,134.0,1.0
1998,2017-7-7,B4-7S,39.1304347826,30.7,32.3506,135.0,1.0
2014,2017-7-8,B4-7S,39.8550724638,30.4,31.134,136.0,1.0
2030,2017-7-9,B4-7S,40.1459854015,11.2,34.0886,137.5,1.0
2046,2017-7-10,B4-7S,40.1459854015,0.0,31.6554,138.5,1.0
2062,2017-7-11,B4-7S,40.0,19.4,36.348,139.5,1.0
2078,2017-7-12,B4-7S,38.8059701493,29.3,34.0886,140.5,1.0
2094,2017-7-13,B4-7S,38.5294117647,29.8,32.872,141.5,1.0
2110,2017-7-14,B4-7S,37.5,9.2,34.0886,141.5,1.0
2126,2017-7-15,B4-7S,37.7941176471,28.3,32.872,142.5,1.0
2142,2017-7-16,B4-7S,37.7941176471,29.2,34.0886,143.5,1.0
2158,2017-7-17,B4-7S,37.7941176471,29.8,34.61,144.5,1.0
2174,2017-7-18,B4-7S,37.4045801527,29.6,32.872,146.5,1.0
2190,2017-7-19,B4-7S,36.5384615385,29.6,32.872,147.5,1.0
2206,2017-7-20,B4-7S,38.4615384615,28.9,34.9576,148.5,1.0
2222,2017-7-21,B4-7S,36.1538461538,28.7,34.9576,150.0,1.0
2238,2017-7-22,B4-7S,36.1538461538,26.3,32.872,151.0,1.0
2254,2017-7-23,B4-7S,33.8461538462,25.2,35.284,152.0,1.0
2270,2017-7-24,B4-7S,33.3333333333,25.6,37.696,153.0,1.0
2286,2017-7-25,B4-7S,34.8837209302,26.2,38.902,154.0,1.0
7,2017-3-5,B1-7N,45.6923076923,33.2,9.236,164.0,3.0
23,2017-3-6,B1-7N,42.6923076923,33.6,9.478,165.0,3.0
39,2017-3-7,B1-7N,44.6153846154,34.4,9.4054,166.0,3.0
55,2017-3-8,B1-7N,42.3076923077,33.0,9.4054,167.0,3.0
71,2017-3-9,B1-7N,41.8604651163,34.1,10.244,168.0,3.0
87,2017-3-10,B1-7N,41.0852713178,33.3,10.2011,169.0,3.0
103,2017-3-11,B1-7N,42.1875,34.0,10.387,168.0,3.0
119,2017-3-12,B1-7N,39.3700787402,30.0,10.4299,171.0,3.0
135,2017-3-13,B1-7N,42.8571428571,32.9,10.387,170.0,3.0
151,2017-3-14,B1-7N,44.0,32.3,10.101,171.0,3.0
167,2017-3-15,B1-7N,42.4,32.4,11.1948,172.0,3.0
183,2017-3-16,B1-7N,40.8,32.1,11.252,173.0,3.0
199,2017-3-17,B1-7N,41.1290322581,32.7,11.2652,174.0,3.0
215,2017-3-18,B1-7N,43.0894308943,31.8,11.296,175.0,3.0
231,2017-3-19,B1-7N,42.2764227642,32.3,11.2388,176.0,3.0
247,2017-3-20,B1-7N,40.9836065574,32.3,12.2435,177.0,3.0
263,2017-3-21,B1-7N,42.6229508197,32.2,12.2765,178.0,3.0
279,2017-3-22,B1-7N,42.9752066116,32.2,12.315,179.0,3.0
295,2017-3-23,B1-7N,37.5,31.6,12.2765,188.0,3.0
311,2017-3-24,B1-7N,,,13.3758,,
327,2017-3-25,B1-7N,,,13.3142,,
343,2017-3-26,B1-7N,,,13.0678,,
359,2017-3-27,B1-7N,,,13.1602,,
375,2017-3-28,B1-7N,,,14.023,,
391,2017-3-29,B1-7N,,,14.276,,
407,2017-3-30,B1-7N,,,13.9471,15.0,1.0
423,2017-3-31,B1-7N,,,13.9471,16.0,1.0
439,2017-4-1,B1-7N,,,14.932,17.0,1.0
455,2017-4-2,B1-7N,,,15.636,20.0,1.0
471,2017-4-3,B1-7N,,,15.1784,20.0,1.0
487,2017-4-4,B1-7N,,,16.1567,21.0,1.0
503,2017-4-5,B1-7N,,,15.7057,18.0,1.0
519,2017-4-6,B1-7N,,,16.1567,19.0,1.0
535,2017-4-7,B1-7N,,,15.841,20.0,1.0
551,2017-4-8,B1-7N,,,16.75,20.0,1.0
567,2017-4-9,B1-7N,,,17.3,21.0,1.0
583,2017-4-10,B1-7N,,,17.685,20.0,1.0
599,2017-4-11,B1-7N,,,16.915,21.0,1.0
615,2017-4-12,B1-7N,,,18.308,21.0,1.0
631,2017-4-13,B1-7N,,,18.5027,22.0,1.0
647,2017-4-14,B1-7N,,,17.659,22.0,1.0
663,2017-4-15,B1-7N,,,18.1133,23.0,1.0
679,2017-4-16,B1-7N,,,18.3436,22.0,1.0
695,2017-4-17,B1-7N,,,18.7924,23.0,1.0
711,2017-4-18,B1-7N,,,19.316,24.0,1.0
727,2017-4-19,B1-7N,,,19.0916,25.0,1.0
743,2017-4-20,B1-7N,,,19.316,26.0,1.0
759,2017-4-21,B1-7N,25.8928571429,28.2,21.171,26.5,1.0
775,2017-4-22,B1-7N,,,20.9169,28.0,1.0
791,2017-4-23,B1-7N,24.7787610619,29.4,19.2229,29.0,1.0
807,2017-4-24,B1-7N,26.1261261261,29.8,19.7311,29.0,1.0
823,2017-4-25,B1-7N,27.1929824561,29.9,19.2229,30.0,1.0
839,2017-4-26,B1-7N,28.3185840708,30.2,19.7311,32.0,1.0
855,2017-4-27,B1-7N,28.0701754386,20.5,20.386,32.5,1.0
871,2017-4-28,B1-7N,28.4482758621,30.0,20.6698,33.5,1.0
887,2017-4-29,B1-7N,28.4482758621,29.8,21.6158,34.0,1.0
903,2017-4-30,B1-7N,27.5,30.0,21.6158,35.0,1.0
919,2017-5-1,B1-7N,27.868852459,30.2,21.0482,36.0,1.0
935,2017-5-2,B1-7N,31.4049586777,30.4,21.332,37.0,1.0
951,2017-5-3,B1-7N,34.7107438017,31.1,21.332,38.0,1.0
967,2017-5-4,B1-7N,38.6178861789,31.3,23.0715,38.0,1.0
983,2017-5-5,B1-7N,34.4,31.7,23.0715,39.0,1.0
999,2017-5-6,B1-7N,34.126984127,30.6,23.385,40.0,1.0
1015,2017-5-7,B1-7N,36.5079365079,30.2,23.0715,41.0,1.0
1031,2017-5-8,B1-7N,33.3333333333,30.1,22.0265,42.0,1.0
1047,2017-5-9,B1-7N,32.0895522388,29.8,21.295,43.0,1.0
1063,2017-5-10,B1-7N,31.884057971,30.1,22.0265,44.0,1.0
1079,2017-5-11,B1-7N,29.2857142857,30.1,23.6912,44.0,1.0
1095,2017-5-12,B1-7N,30.5555555556,30.3,25.2928,45.0,1.0
1111,2017-5-13,B1-7N,30.3448275862,30.5,25.636,45.0,1.0
1127,2017-5-14,B1-7N,29.7297297297,29.1,24.492,46.5,1.0
1143,2017-5-15,B1-7N,31.5436241611,28.9,24.8352,47.0,1.0
1159,2017-5-16,B1-7N,31.3725490196,26.6,25.2928,48.0,1.0
1175,2017-5-17,B1-7N,31.6129032258,30.0,24.356,46.0,1.0
1191,2017-5-18,B1-7N,31.4685314685,30.7,24.7289,47.0,1.0
1207,2017-5-19,B1-7N,32.8467153285,30.5,24.356,47.5,1.0
1223,2017-5-20,B1-7N,31.654676259,30.0,24.356,48.5,1.0
1239,2017-5-21,B1-7N,33.0935251799,29.7,24.9614,48.0,1.0
1255,2017-5-22,B1-7N,33.3333333333,29.8,26.3034,49.0,1.0
1271,2017-5-23,B1-7N,32.1917808219,29.8,25.7666,49.0,1.0
1287,2017-5-24,B1-7N,32.0,30.0,26.706,51.0,1.0
1303,2017-5-25,B1-7N,31.7880794702,30.5,25.7666,51.0,1.0
1319,2017-5-26,B1-7N,30.7189542484,30.7,28.2453,52.0,1.0
1335,2017-5-27,B1-7N,31.3725490196,30.6,27.813,51.5,1.0
1351,2017-5-28,B1-7N,30.7189542484,31.3,26.8043,52.5,1.0
1367,2017-5-29,B1-7N,30.5194805195,30.9,25.9397,54.0,1.0
1383,2017-5-30,B1-7N,30.5194805195,24.4,25.9397,54.0,1.0
1399,2017-5-31,B1-7N,31.6129032258,30.9,27.842,55.0,1.0
1415,2017-6-1,B1-7N,30.7692307692,31.3,26.918,56.0,1.0
1431,2017-6-2,B1-7N,31.4102564103,31.7,27.38,57.0,1.0
1447,2017-6-3,B1-7N,32.6923076923,31.0,26.918,58.0,1.0
