,日期,牛舍,牛只类型,牛头数,报草量,减草量,剩草量,剩草率,计划头均采食量,实际头均采食量,头均产奶量
1056,2017-5-10,B1-1S,高产,140.0,5800.0,0,200.0,3.4 ,41.4 ,40.0,23.2
1057,2017-5-10,B1-1N,高产,140.0,5900.0,0,200.0,3.4 ,42.1 ,40.7142857143,22.2
1058,2017-5-10,B1-3S,高产,141.0,5900.0,0,200.0,3.4 ,41.8 ,40.4255319149,32.1
1059,2017-5-10,B1-3N,高产,153.0,6800.0,0,200.0,2.9 ,44.4 ,43.137254902,33.8
1060,2017-5-10,B1-5S,高产,97.0,3800.0,0,200.0,5.3 ,39.2 ,37.1134020619,27.0
1061,2017-5-10,B1-5N,高产,105.0,4000.0,0,200.0,5.0 ,38.1 ,36.1904761905,30.0
1062,2017-5-10,B1-7S,高产,144.0,6600.0,0,300.0,4.5 ,45.8 ,43.75,33.9
1063,2017-5-10,B1-7N,高产,138.0,4500.0,0,100.0,2.2 ,32.6 ,31.884057971,30.1
1064,2017-5-10,B4-1S,高产,153.0,5500.0,0,300.0,5.5 ,35.9 ,33.9869281046,23.0
1065,2017-5-10,B4-1N,高产,158.0,5800.0,0,200.0,3.4 ,36.7 ,35.4430379747,22.3
1066,2017-5-10,B4-3S,高产,78.0,3100.0,0,200.0,6.5 ,39.7 ,37.1794871795,29.5
1067,2017-5-10,B4-3N,高产,134.0,5100.0,0,200.0,3.9 ,38.1 ,36.5671641791,26.7
1068,2017-5-10,B4-5S,高产,135.0,5500.0,200,300.0,5.7 ,40.7 ,37.037037037,32.8
1069,2017-5-10,B4-5N,高产,140.0,6400.0,0,100.0,1.6 ,45.7 ,45.0,37.9
1070,2017-5-10,B4-7S,高产,147.0,5600.0,100,200.0,3.6 ,38.1 ,36.0544217687,33.3
1071,2017-5-10,B4-7N,高产,149.0,6300.0,0,200.0,3.2 ,42.3 ,40.9395973154,39.3
1072,2017-5-11,B1-1S,高产,140.0,5600.0,0,200.0,3.6 ,40.0 ,38.5714285714,23.0
1073,2017-5-11,B1-1N,高产,151.0,6200.0,0,300.0,4.8 ,41.1 ,39.0728476821,23.6
1074,2017-5-11,B1-3S,高产,141.0,5900.0,0,300.0,5.1 ,41.8 ,39.7163120567,32.5
1075,2017-5-11,B1-3N,高产,152.0,6800.0,0,200.0,2.9 ,44.7 ,43.4210526316,33.6
1076,2017-5-11,B1-5S,高产,97.0,4000.0,700,200.0,6.1 ,41.2 ,31.9587628866,0.0
1077,2017-5-11,B1-5N,高产,105.0,4100.0,700,200.0,5.9 ,39.0 ,30.4761904762,28.8
1078,2017-5-11,B1-7S,高产,144.0,6800.0,0,300.0,4.4 ,47.2 ,45.1388888889,33.2
1079,2017-5-11,B1-7N,高产,140.0,4500.0,0,400.0,8.9 ,32.1 ,29.2857142857,30.1
1080,2017-5-11,B4-1S,高产,149.0,6000.0,0,300.0,5.0 ,40.3 ,38.255033557,22.7
1081,2017-5-11,B4-1N,高产,159.0,5600.0,0,200.0,3.6 ,35.2 ,33.9622641509,21.3
1082,2017-5-11,B4-3S,高产,78.0,2900.0,0,200.0,6.9 ,37.2 ,34.6153846154,28.9
1083,2017-5-11,B4-3N,高产,133.0,5200.0,0,300.0,5.8 ,39.1 ,36.8421052632,25.9
1084,2017-5-11,B4-5S,高产,134.0,5800.0,200,300.0,5.4 ,43.3 ,39.552238806,32.7
1085,2017-5-11,B4-5N,高产,142.0,6400.0,0,200.0,3.1 ,45.1 ,43.661971831,36.8
1086,2017-5-11,B4-7S,高产,144.0,5800.0,200,300.0,5.4 ,40.3 ,36.8055555556,33.1
1087,2017-5-11,B4-7N,高产,149.0,6400.0,0,200.0,3.1 ,43.0 ,41.610738255,38.4
1088,2017-5-12,B1-1S,高产,137.0,5500.0,0,300.0,5.5 ,40.1 ,37.9562043796,22.7
1089,2017-5-12,B1-1N,高产,154.0,6500.0,0,300.0,4.6 ,42.2 ,40.2597402597,22.5
1090,2017-5-12,B1-3S,高产,141.0,6000.0,0,200.0,3.3 ,42.6 ,41.134751773,32.3
1091,2017-5-12,B1-3N,高产,152.0,6700.0,0,300.0,4.5 ,44.1 ,42.1052631579,30.1
1092,2017-5-12,B1-5S,高产,,,700,,0.0 ,19.6 ,,
1093,2017-5-12,B1-5N,高产,127.0,4800.0,700,300.0,7.3 ,37.8 ,29.9212598425,29.2
1094,2017-5-12,B1-7S,高产,144.0,6400.0,0,400.0,6.3 ,44.4 ,41.6666666667,33.9
1095,2017-5-12,B1-7N,高产,144.0,4600.0,0,200.0,4.3 ,31.9 ,30.5555555556,30.3
1096,2017-5-12,B4-1S,高产,147.0,5200.0,0,200.0,3.8 ,35.4 ,34.0136054422,22.3
1097,2017-5-12,B4-1N,高产,158.0,5500.0,0,200.0,3.6 ,34.8 ,33.5443037975,21.1
1098,2017-5-12,B4-3S,高产,80.0,3000.0,0,200.0,6.7 ,37.5 ,35.0,28.1
1099,2017-5-12,B4-3N,高产,130.0,5000.0,0,200.0,4.0 ,38.5 ,36.9230769231,25.2
1100,2017-5-12,B4-5S,高产,133.0,5500.0,0,400.0,7.3 ,41.4 ,38.3458646617,32.3
1101,2017-5-12,B4-5N,高产,144.0,6600.0,0,300.0,4.5 ,45.8 ,43.75,37.1
1102,2017-5-12,B4-7S,高产,143.0,5600.0,0,200.0,3.6 ,39.2 ,37.7622377622,33.1
1103,2017-5-12,B4-7N,高产,150.0,6200.0,0,200.0,3.2 ,41.3 ,40.0,38.5
1104,2017-5-13,B1-1S,高产,135.0,5400.0,0,300.0,5.6 ,40.0 ,37.7777777778,22.9
1105,2017-5-13,B1-1N,高产,152.0,6300.0,0,300.0,4.8 ,41.4 ,39.4736842105,23.2
1106,2017-5-13,B1-3S,高产,141.0,6000.0,0,300.0,5.0 ,42.6 ,40.4255319149,31.8
1107,2017-5-13,B1-3N,高产,152.0,6800.0,0,300.0,4.4 ,44.7 ,42.7631578947,32.7
1108,2017-5-13,B1-5S,高产,,,0,,#DIV/0!,#DIV/0!,,
1109,2017-5-13,B1-5N,高产,137.0,5300.0,0,200.0,3.8 ,38.7 ,37.2262773723,28.8
1110,2017-5-13,B1-7S,高产,143.0,6300.0,0,300.0,4.8 ,44.1 ,41.958041958,33.1
1111,2017-5-13,B1-7N,高产,145.0,4600.0,0,200.0,4.3 ,31.7 ,30.3448275862,30.5
1112,2017-5-13,B4-1S,高产,151.0,4400.0,0,100.0,2.3 ,29.1 ,28.4768211921,22.1
1113,2017-5-13,B4-1N,高产,158.0,5300.0,0,100.0,1.9 ,33.5 ,32.9113924051,21.5
1114,2017-5-13,B4-3S,高产,79.0,3100.0,0,100.0,3.2 ,39.2 ,37.9746835443,28.3
1115,2017-5-13,B4-3N,高产,132.0,5000.0,0,300.0,6.0 ,37.9 ,35.6060606061,26.4
1116,2017-5-13,B4-5S,高产,133.0,5400.0,200,300.0,5.8 ,40.6 ,36.8421052632,31.7
1117,2017-5-13,B4-5N,高产,144.0,6700.0,0,200.0,3.0 ,46.5 ,45.1388888889,35.7
1118,2017-5-13,B4-7S,高产,143.0,5500.0,200,300.0,5.7 ,38.5 ,34.965034965,32.9
1119,2017-5-13,B4-7N,高产,150.0,6300.0,0,200.0,3.2 ,42.0 ,40.6666666667,38.1
1120,2017-5-14,B1-1S,高产,135.0,5500.0,0,300.0,5.5 ,40.7 ,38.5185185185,24.5
1121,2017-5-14,B1-1N,高产,151.0,6200.0,0,300.0,4.8 ,41.1 ,39.0728476821,25.5
1122,2017-5-14,B1-3S,高产,141.0,6000.0,0,200.0,3.3 ,42.6 ,41.134751773,34.3
1123,2017-5-14,B1-3N,高产,152.0,6900.0,0,300.0,4.3 ,45.4 ,43.4210526316,33.3
1124,2017-5-14,B1-5S,高产,,,0,,#DIV/0!,#DIV/0!,,
1125,2017-5-14,B1-5N,高产,136.0,5300.0,0,300.0,5.7 ,39.0 ,36.7647058824,30.7
1126,2017-5-14,B1-7S,高产,142.0,6300.0,0,300.0,4.8 ,44.4 ,42.2535211268,34.1
1127,2017-5-14,B1-7N,高产,148.0,4600.0,0,200.0,4.3 ,31.1 ,29.7297297297,29.1
1128,2017-5-14,B4-1S,高产,151.0,4400.0,-200,100.0,2.2 ,29.1 ,29.8013245033,23.9
1129,2017-5-14,B4-1N,高产,162.0,5400.0,0,100.0,1.9 ,33.3 ,32.7160493827,23.7
1130,2017-5-14,B4-3S,高产,82.0,3100.0,0,200.0,6.5 ,37.8 ,35.3658536585,29.5
1131,2017-5-14,B4-3N,高产,120.0,4500.0,0,300.0,6.7 ,37.5 ,35.0,28.1
1132,2017-5-14,B4-5S,高产,134.0,5300.0,-100,300.0,5.6 ,39.6 ,38.0597014925,33.1
1133,2017-5-14,B4-5N,高产,144.0,6600.0,-200,300.0,4.4 ,45.8 ,45.1388888889,37.7
1134,2017-5-14,B4-7S,高产,143.0,5500.0,-100,200.0,3.6 ,38.5 ,37.7622377622,33.9
1135,2017-5-14,B4-7N,高产,153.0,6200.0,-200,300.0,4.7 ,40.5 ,39.8692810458,39.4
1136,2017-5-15,B1-1S,高产,135.0,5500.0,0,400.0,7.3 ,40.7 ,37.7777777778,21.2
1137,2017-5-15,B1-1N,高产,151.0,6300.0,0,300.0,4.8 ,41.7 ,39.7350993377,21.2
1138,2017-5-15,B1-3S,高产,141.0,5900.0,0,300.0,5.1 ,41.8 ,39.7163120567,30.1
1139,2017-5-15,B1-3N,高产,152.0,6900.0,0,200.0,2.9 ,45.4 ,44.0789473684,29.9
1140,2017-5-15,B1-5S,高产,,,0,,#DIV/0!,#DIV/0!,,
1141,2017-5-15,B1-5N,高产,136.0,5800.0,0,300.0,5.2 ,42.6 ,40.4411764706,28.5
1142,2017-5-15,B1-7S,高产,141.0,6200.0,0,300.0,4.8 ,44.0 ,41.8439716312,31.7
1143,2017-5-15,B1-7N,高产,149.0,4800.0,0,100.0,2.1 ,32.2 ,31.5436241611,28.9
1144,2017-5-15,B4-1S,高产,149.0,5100.0,0,200.0,3.9 ,34.2 ,32.8859060403,20.6
1145,2017-5-15,B4-1N,高产,163.0,5900.0,-200,200.0,3.3 ,36.2 ,36.1963190184,18.9
1146,2017-5-15,B4-3S,高产,91.0,3500.0,0,300.0,8.6 ,38.5 ,35.1648351648,26.2
1147,2017-5-15,B4-3N,高产,109.0,4400.0,0,200.0,4.5 ,40.4 ,38.5321100917,25.1
1148,2017-5-15,B4-5S,高产,134.0,5300.0,0,100.0,1.9 ,39.6 ,38.8059701493,31.3
1149,2017-5-15,B4-5N,高产,144.0,6600.0,0,100.0,1.5 ,45.8 ,45.1388888889,35.6
1150,2017-5-15,B4-7S,高产,143.0,5400.0,0,200.0,3.7 ,37.8 ,36.3636363636,28.3
1151,2017-5-15,B4-7N,高产,154.0,6200.0,0,100.0,1.6 ,40.3 ,39.6103896104,37.2
1152,2017-5-16,B1-1S,高产,135.0,5500.0,0,300.0,5.5 ,40.7 ,38.5185185185,22.4
1153,2017-5-16,B1-1N,高产,150.0,6300.0,0,400.0,6.3 ,42.0 ,39.3333333333,23.6
1154,2017-5-16,B1-3S,高产,141.0,6000.0,0,300.0,5.0 ,42.6 ,40.4255319149,32.1
1155,2017-5-16,B1-3N,高产,152.0,7000.0,0,300.0,4.3 ,46.1 ,44.0789473684,30.7
1156,2017-5-16,B1-5S,高产,,,0,,#DIV/0!,#DIV/0!,,
1157,2017-5-16,B1-5N,高产,136.0,5600.0,0,300.0,5.4 ,41.2 ,38.9705882353,28.5
1158,2017-5-16,B1-7S,高产,141.0,6300.0,0,300.0,4.8 ,44.7 ,42.5531914894,33.1
1159,2017-5-16,B1-7N,高产,153.0,5000.0,0,200.0,4.0 ,32.7 ,31.3725490196,26.6
1160,2017-5-16,B4-1S,高产,151.0,5700.0,0,600.0,10.5 ,37.7 ,33.7748344371,22.1
1161,2017-5-16,B4-1N,高产,160.0,6300.0,0,300.0,4.8 ,39.4 ,37.5,21.4
1162,2017-5-16,B4-3S,高产,95.0,3600.0,0,200.0,5.6 ,37.9 ,35.7894736842,27.7
1163,2017-5-16,B4-3N,高产,107.0,4300.0,0,300.0,7.0 ,40.2 ,37.3831775701,25.6
1164,2017-5-16,B4-5S,高产,134.0,5400.0,0,200.0,3.7 ,40.3 ,38.8059701493,31.6
1165,2017-5-16,B4-5N,高产,144.0,6700.0,0,200.0,3.0 ,46.5 ,45.1388888889,36.5
1166,2017-5-16,B4-7S,高产,142.0,5600.0,0,300.0,5.4 ,39.4 ,37.323943662,32.3
1167,2017-5-16,B4-7N,高产,154.0,6300.0,0,200.0,3.2 ,40.9 ,39.6103896104,37.0
1168,2017-5-17,B1-1S,高产,135.0,5700.0,0,500.0,8.8 ,42.2 ,38.5185185185,22.7
1169,2017-5-17,B1-1N,高产,151.0,6500.0,0,500.0,7.7 ,43.0 ,39.7350993377,23.2
1170,2017-5-17,B1-3S,高产,141.0,6100.0,0,400.0,6.6 ,43.3 ,40.4255319149,32.0
1171,2017-5-17,B1-3N,高产,155.0,7400.0,0,300.0,4.1 ,47.7 ,45.8064516129,33.2
1172,2017-5-17,B1-5S,高产,,,0,,#DIV/0!,#DIV/0!,,
1173,2017-5-17,B1-5N,高产,136.0,6100.0,0,500.0,8.2 ,44.9 ,41.1764705882,29.6
1174,2017-5-17,B1-7S,高产,141.0,6500.0,0,300.0,4.6 ,46.1 ,43.9716312057,33.3
1175,2017-5-17,B1-7N,高产,155.0,5300.0,0,400.0,7.5 ,34.2 ,31.6129032258,30.0
1176,2017-5-17,B4-1S,高产,151.0,6100.0,200,800.0,13.6 ,40.4 ,33.7748344371,22.7
1177,2017-5-17,B4-1N,高产,158.0,6700.0,0,500.0,7.5 ,42.4 ,39.2405063291,22.0
1178,2017-5-17,B4-3S,高产,96.0,4000.0,0,400.0,10.0 ,41.7 ,37.5,28.2
1179,2017-5-17,B4-3N,高产,107.0,4300.0,0,300.0,7.0 ,40.2 ,37.3831775701,26.7
1180,2017-5-17,B4-5S,高产,134.0,5500.0,0,300.0,5.5 ,41.0 ,38.8059701493,31.5
1181,2017-5-17,B4-5N,高产,144.0,6800.0,0,200.0,2.9 ,47.2 ,45.8333333333,37.3
1182,2017-5-17,B4-7S,高产,142.0,5500.0,100,200.0,3.7 ,38.7 ,36.6197183099,32.8
1183,2017-5-17,B4-7N,高产,154.0,6400.0,200,200.0,3.2 ,41.6 ,38.961038961,37.5
1184,2017-5-18,B1-1S,高产,135.0,5500.0,0,400.0,7.3 ,40.7 ,37.7777777778,22.8
1185,2017-5-18,B1-1N,高产,151.0,6400.0,0,500.0,7.8 ,42.4 ,39.0728476821,23.6
1186,2017-5-18,B1-3S,高产,141.0,5900.0,0,300.0,5.1 ,41.8 ,39.7163120567,32.1
1187,2017-5-18,B1-3N,高产,157.0,7300.0,0,400.0,5.5 ,46.5 ,43.949044586,33.5
