,B1-1N,B1-1S,B1-3N,B1-3S,B1-5N,B1-5S,B1-7N,B1-7S,B4-1N,B4-1S,B4-3N,B4-3S,B4-5N,B4-5S,B4-7N,B4-7S
2017-05-22,"[268.0, 2.0]","[309.0, 2.0]","[162.0, 3.0]","[159.0, 1.0]","[221.0, 1.0]",,"[49.0, 1.0]","[237.0, 2.0]","[314.0, 2.0]","[296.5, 2.0]","[239.0, 2.0]","[201.0, 2.0]","[123.0, 3.0]","[127.0, 1.0]","[61.5, 2.0]","[91.5, 1.0]"
2017-05-23,"[270.0, 2.0]","[310.0, 2.0]","[163.0, 3.0]","[160.0, 1.0]","[222.0, 1.0]",,"[51.0, 1.0]","[238.0, 2.0]","[303.0, 2.0]","[297.5, 2.0]","[247.0, 2.0]","[205.0, 2.0]","[124.0, 3.0]","[128.0, 1.0]","[63.0, 2.0]","[92.5, 1.0]"
2017-05-24,"[271.5, 2.0]","[311.0, 2.0]","[164.5, 3.0]","[161.0, 1.0]","[222.5, 1.0]",,"[51.0, 1.0]","[239.0, 2.0]","[310.0, 2.0]","[298.5, 2.0]","[248.0, 2.0]","[206.0, 2.0]","[125.0, 3.0]","[129.0, 1.0]","[64.0, 2.0]","[93.5, 1.0]"
2017-05-25,"[272.5, 2.0]","[312.5, 2.0]","[165.5, 3.0]","[162.0, 1.0]","[223.5, 1.0]",,"[52.0, 1.0]","[240.0, 2.0]","[311.0, 2.0]","[299.5, 2.0]","[249.0, 2.0]","[206.0, 2.0]","[126.0, 3.0]","[130.0, 1.0]","[65.0, 2.0]","[94.5, 1.0]"
2017-05-26,"[273.5, 2.0]","[313.5, 2.0]","[166.5, 3.0]","[163.0, 1.0]","[224.5, 1.0]",,"[51.5, 1.0]","[241.0, 2.0]","[312.0, 2.0]","[300.5, 2.0]","[250.0, 2.0]","[207.0, 2.0]","[127.0, 3.0]","[131.0, 1.0]","[65.0, 2.0]","[95.5, 1.0]"
2017-05-27,"[274.5, 2.0]","[314.5, 2.0]","[167.5, 3.0]","[164.0, 1.0]","[225.5, 1.0]",,"[52.5, 1.0]","[242.0, 2.0]","[313.0, 2.0]","[301.5, 2.0]","[251.0, 2.0]","[208.0, 2.0]","[128.0, 3.0]","[132.0, 1.0]","[66.0, 2.0]","[96.5, 1.0]"
2017-05-28,"[276.0, 2.0]","[315.5, 2.0]","[168.5, 3.0]","[165.0, 1.0]","[226.0, 1.0]",,"[54.0, 1.0]","[243.0, 2.0]","[321.5, 2.0]","[298.0, 2.0]","[252.0, 2.0]","[208.0, 2.0]","[129.0, 3.0]","[133.0, 1.0]","[67.0, 2.0]","[98.0, 1.0]"
2017-05-29,"[277.0, 2.0]","[316.5, 2.0]","[171.0, 3.0]","[164.0, 1.0]","[227.0, 1.0]",,"[54.0, 1.0]","[244.0, 2.0]","[322.5, 2.0]","[299.0, 2.0]","[253.0, 2.0]","[208.0, 2.0]","[130.0, 3.0]","[134.0, 1.0]","[67.0, 2.0]","[99.0, 1.0]"
2017-05-30,"[281.0, 1.0]","[317.0, 2.0]","[172.0, 3.0]","[165.0, 1.0]","[228.0, 1.0]",,"[55.0, 1.0]","[245.0, 2.0]","[323.5, 2.0]","[301.5, 2.0]","[254.0, 2.0]","[207.5, 2.0]","[131.0, 3.0]","[135.0, 1.0]","[68.0, 2.0]","[100.0, 1.0]"
2017-05-31,"[277.5, 1.0]","[318.0, 2.0]","[175.5, 3.0]","[166.0, 1.0]","[229.0, 1.0]","[17.0, 1.0]","[56.0, 1.0]","[246.0, 2.0]","[324.5, 2.0]","[292.0, 1.0]","[247.5, 2.0]","[208.5, 2.0]","[132.0, 3.0]","[136.0, 1.0]","[69.0, 2.0]","[101.0, 1.0]"
2017-06-01,"[278.5, 1.0]","[320.0, 2.0]","[176.5, 3.0]","[169.0, 1.0]","[231.5, 1.0]","[18.0, 1.0]","[57.0, 1.0]","[247.0, 2.0]","[325.5, 2.0]","[293.0, 1.0]","[nan, nan]","[211.0, 2.0]","[133.0, 3.0]","[137.0, 1.0]","[70.0, 2.0]","[102.0, 1.0]"
2017-06-02,"[279.5, 1.0]","[321.0, 2.0]","[176.5, 3.0]","[170.0, 1.0]","[232.5, 1.0]","[19.0, 1.0]","[58.0, 1.0]","[248.0, 2.0]","[326.5, 2.0]","[294.0, 1.0]","[nan, nan]","[212.0, 2.0]","[134.0, 3.0]","[138.0, 1.0]","[71.0, 2.0]","[103.0, 1.0]"
2017-06-03,"[279.0, 1.0]","[322.0, 2.0]","[177.5, 3.0]","[171.0, 1.0]","[233.5, 1.0]","[20.0, 1.0]","[59.0, 1.0]","[249.0, 2.0]","[327.5, 2.0]","[295.0, 1.0]","[nan, nan]","[213.0, 2.0]","[135.0, 3.0]","[139.0, 1.0]","[72.0, 2.0]","[104.0, 1.0]"
2017-06-04,"[280.0, 1.0]","[323.0, 2.0]","[178.5, 3.0]","[172.0, 1.0]","[234.5, 1.0]","[21.0, 1.0]","[60.0, 1.0]","[250.0, 2.0]","[330.5, 2.0]","[296.0, 1.0]","[nan, nan]","[212.5, 2.0]","[136.0, 3.0]","[140.0, 1.0]","[73.0, 2.0]","[105.0, 1.0]"
2017-06-05,"[282.5, 1.0]","[324.0, 2.0]","[179.5, 3.0]","[173.0, 1.0]","[235.5, 1.0]","[22.0, 1.0]","[61.0, 1.0]","[251.0, 2.0]","[331.5, 2.0]","[297.0, 1.0]","[nan, nan]","[216.0, 2.0]","[136.5, 3.0]","[141.0, 1.0]","[74.0, 2.0]","[106.0, 1.0]"
